X,Y,FID,OBJECTID,RANK,NAME,ADDRESS,ADDRESS2,CITY,STATE,ZIP,COUNTY,EMPLOYEES,REVENUES,LATITUDE,LONGITUDE,SOURCE,PRC,COUNTYFIPS,COMMENTS,WEBSITE,PROFIT,GlobalID,CreationDate,Creator,EditDate,Editor
-8994286.4636,4187945.8472,283,283,287,SONIC AUTOMOTIVE,4401 COLWICK ROAD,NOT AVAILABLE,CHARLOTTE,NC,28211,MECKLENBURG,9800,9732,35.17689,-80.79705,BING MAPS,ADDRESS,37119,NOT AVAILABLE,HTTPS://WWW.SONICAUTOMOTIVE.COM/,93.2,{6F618E85-3D01-4869-A0C5-3FE61A2EE3C2},2021/12/16 14:56:43+00,HostedByHIFLD,2021/12/16 14:56:43+00,HostedByHIFLD
-8999298.0671,4194777.9377,284,284,26,BANK OF AMERICA CORP.,100 NORTH TRYON STREET,NOT AVAILABLE,CHARLOTTE,NC,28255,MECKLENBURG,208024,93662,35.22704,-80.84207,BING MAPS,ADDRESS,37119,NOT AVAILABLE,HTTPS://WWW.BANKOFAMERICA.COM/,17906,{C9B0EADF-321B-4842-91E5-FBDA18F8E387},2021/12/16 14:56:43+00,HostedByHIFLD,2021/12/16 14:56:43+00,HostedByHIFLD
-8310570.5001,4912456.2629,285,285,229,NRG ENERGY,804 CARNEGIE CENTER,NOT AVAILABLE,PRINCETON,NJ,08540,MERCER,8763,12351,40.319335,-74.655125,MANUAL,ON-ENTITY,34021,NOT AVAILABLE,HTTPS://WWW.NRG.COM/HOME.HTML,-774,{56F5E449-B5A4-446A-94E7-A056E964F20A},2021/12/16 14:56:43+00,HostedByHIFLD,2021/12/16 14:56:43+00,HostedByHIFLD
-8946712.966,2971341.6795,286,286,260,LENNAR,700 NW 107TH AVENUE,NOT AVAILABLE,MIAMI,FL,33172,MIAMI-DADE,8335,10950,25.77582,-80.36969,BING MAPS,ADDRESS,12086,NOT AVAILABLE,HTTPS://WWW.LENNAR.COM/,911.8,{93F4631C-D292-4880-98E8-5584FF607726},2021/12/16 14:56:43+00,HostedByHIFLD,2021/12/16 14:56:43+00,HostedByHIFLD
-8948454.0028,2982761.1367,287,287,394,RYDER SYSTEM,11690 NW 105TH STREET,NOT AVAILABLE,MIAMI,FL,33178,MIAMI-DADE,34500,6787,25.86816,-80.38533,BING MAPS,ADDRESS,12086,NOT AVAILABLE,HTTPS://RYDER.COM/,262.5,{C7852644-8AF1-476D-AB4A-28223E235F24},2021/12/16 14:56:43+00,HostedByHIFLD,2021/12/16 14:56:43+00,HostedByHIFLD
-8945056.532,2975639.3169,288,288,103,WORLD FUEL SERVICES,9800 NW 41ST STREET,NOT AVAILABLE,MIAMI,FL,33178,MIAMI-DADE,5000,27016,25.81058,-80.35481,BING MAPS,ADDRESS,12086,NOT AVAILABLE,HTTPS://WWW.WFSCORP.COM/EN,126.5,{CCB336E8-BEC6-4EFA-8D73-FA2A7075987F},2021/12/16 14:56:43+00,HostedByHIFLD,2021/12/16 14:56:43+00,HostedByHIFLD
-7946272.4571,5207339.9818,289,289,87,TJX,770 COCHITUATE ROAD,NOT AVAILABLE,FRAMINGHAM,MA,01701,MIDDLESEX,235000,33184,42.30874,-71.38258,BING MAPS,ADDRESS,25017,NOT AVAILABLE,HTTPS://WWW.TJX.COM/,2298.2,{CFBD9CDD-A168-49FB-A74E-8B2ADAF3F79C},2021/12/16 14:56:43+00,HostedByHIFLD,2021/12/16 14:56:43+00,HostedByHIFLD
-7958241.5288,5204718.1525,290,290,140,STAPLES,500 STAPLES DRIVE,NOT AVAILABLE,FRAMINGHAM,MA,01702,MIDDLESEX,61503,20217,42.29132,-71.4901,BING MAPS,ADDRESS,25017,NOT AVAILABLE,HTTPS://WWW.STAPLES.COM/,-1497,{520CF57A-39BC-43F3-BD8A-CD8B00AEFF62},2021/12/16 14:56:43+00,HostedByHIFLD,2021/12/16 14:56:43+00,HostedByHIFLD
-7965764.4999,5215236.9438,291,291,327,BOSTON SCIENTIFIC,1 BOSTON SCIENTIFIC PLACE,NOT AVAILABLE,NATICK,MA,01760,MIDDLESEX,27000,8386,42.36118,-71.55768,BING MAPS,ADDRESS,25017,NOT AVAILABLE,HTTP://WWW.BOSTONSCIENTIFIC.COM/EN-US/HOME.HTML,347,{8AAB4269-F04A-43DC-8B11-DD9EA3BB7EAE},2021/12/16 14:56:43+00,HostedByHIFLD,2021/12/16 14:56:43+00,HostedByHIFLD
-7913163.8142,5216029.413,292,292,248,BIOGEN,225 BINNEY STREET,NOT AVAILABLE,CAMBRIDGE,MA,02142,MIDDLESEX,7400,11449,42.36644,-71.08516,BING MAPS,ADDRESS,25017,NOT AVAILABLE,HTTPS://WWW.BIOGEN.COM/,3702.8,{1AEA6A26-BB50-46D0-85DA-5C571FE36BCD},2021/12/16 14:56:43+00,HostedByHIFLD,2021/12/16 14:56:43+00,HostedByHIFLD
-7934785.3989,5222039.8756,293,293,116,RAYTHEON,870 WINTER STREET,NOT AVAILABLE,WALTHAM,MA,02451,MIDDLESEX,63000,24069,42.40632,-71.27939,BING MAPS,ADDRESS,25017,NOT AVAILABLE,HTTPS://WWW.RAYTHEON.COM/,2211,{3D5CAF3A-EA32-4B57-9A40-E1154F021FE8},2021/12/16 14:56:43+00,HostedByHIFLD,2021/12/16 14:56:43+00,HostedByHIFLD
-7932416.5201,5221067.0611,294,294,154,THERMO FISHER SCIENTIFIC,168 3RD AVENUE,NOT AVAILABLE,WALTHAM,MA,02451,MIDDLESEX,54800,18274,42.399867,-71.25811,MANUAL,ON-ENTITY,25017,NOT AVAILABLE,HTTPS://WWW.THERMOFISHER.COM/US/EN/HOME.HTML,2021.8,{CEEABB74-1CBC-4008-AAC1-1E865B6434AA},2021/12/16 14:56:43+00,HostedByHIFLD,2021/12/16 14:56:43+00,HostedByHIFLD
-7932851.7793,5214268.293,295,295,334,GLOBAL PARTNERS,800 SOUTH STREET,SUITE 500,WALTHAM,MA,02453,MIDDLESEX,1770,8240,42.35475,-71.26202,BING MAPS,ADDRESS,25017,NOT AVAILABLE,HTTP://WWW.GLOBALP.COM/,-199.4,{A8EDF820-0635-48EC-94F1-6CCA6A2BC974},2021/12/16 14:56:43+00,HostedByHIFLD,2021/12/16 14:56:43+00,HostedByHIFLD
-9352464.7176,5378790.4124,296,296,62,DOW CHEMICAL,2030 DOW CENTER,NOT AVAILABLE,MIDLAND,MI,48674,MIDLAND,56000,48158,43.43742,-84.01462,BING MAPS,ADDRESS,26111,NOT AVAILABLE,HTTPS://WWW.DOW.COM/EN-US,4318,{33C14796-4734-4178-B290-292778638764},2021/12/16 14:56:43+00,HostedByHIFLD,2021/12/16 14:56:43+00,HostedByHIFLD
-9786521.6761,5317606.844,297,297,368,WEC ENERGY GROUP,231 WEST MICHIGAN STREET,NOT AVAILABLE,MILWAUKEE,WI,53203,MILWAUKEE,8074,7472,43.03701,-87.91382,BING MAPS,ADDRESS,55079,NOT AVAILABLE,HTTPS://WWW.WECENERGYGROUP.COM/,939,{B707185F-DDB7-467A-875D-C0CAFFC8F4FD},2021/12/16 14:56:43+00,HostedByHIFLD,2021/12/16 14:56:43+00,HostedByHIFLD
-9785231.4832,5318002.8375,298,298,97,NORTHWESTERN MUTUAL,720 EAST WISCONSIN AVENUE,NOT AVAILABLE,MILWAUKEE,WI,53202,MILWAUKEE,5646,28799,43.03961,-87.90223,BING MAPS,ADDRESS,55079,NOT AVAILABLE,HTTPS://WWW.NORTHWESTERNMUTUAL.COM/,818,{8B587FB9-E11D-4A8E-9522-89E781FB6F32},2021/12/16 14:56:43+00,HostedByHIFLD,2021/12/16 14:56:43+00,HostedByHIFLD
-9786464.9032,5314722.6898,299,299,442,ROCKWELL AUTOMATION,1201 SOUTH 2ND STREET,NOT AVAILABLE,MILWAUKEE,WI,53204,MILWAUKEE,22000,5880,43.01807,-87.91331,BING MAPS,ADDRESS,55079,NOT AVAILABLE,HTTPS://WWW.ROCKWELLAUTOMATION.COM/,729.7,{AEF6B7B1-38C4-4DE0-927C-2ECC83D5EAE4},2021/12/16 14:56:43+00,HostedByHIFLD,2021/12/16 14:56:43+00,HostedByHIFLD
-9791863.8985,5318916.7327,300,300,435,HARLEY-DAVIDSON,3700 WEST JUNEAU AVENUE,NOT AVAILABLE,MILWAUKEE,WI,53208,MILWAUKEE,6000,5997,43.04561,-87.96181,BING MAPS,ADDRESS,55079,NOT AVAILABLE,HTTPS://WWW.HARLEY-DAVIDSON.COM/US/EN/INDEX.HTML,692.2,{B1104460-DE0A-47CA-BCBF-CCF827C4CB0A},2021/12/16 14:56:43+00,HostedByHIFLD,2021/12/16 14:56:43+00,HostedByHIFLD
-9786359.1496,5319478.8227,301,301,146,MANPOWERGROUP,100 MANPOWER PLACE,NOT AVAILABLE,MILWAUKEE,WI,53212,MILWAUKEE,28000,19654,43.0493,-87.91236,BING MAPS,ADDRESS,55079,NOT AVAILABLE,HTTPS://WWW.MANPOWERGROUP.COM/,443.7,{D5E4A88A-2214-4D6D-AB4A-72E95599065E},2021/12/16 14:56:43+00,HostedByHIFLD,2021/12/16 14:56:43+00,HostedByHIFLD
-8622390.3088,5318031.7762,302,302,408,CONSTELLATION BRANDS,370 WOODCLIFF DRIVE,SUITE 300,FAIRPORT,NY,14450,MONROE,9000,6548,43.0398,-77.45625,BING MAPS,ADDRESS,36055,NOT AVAILABLE,HTTPS://WWW.CBRANDS.COM/,1054.9,{BA1F131C-164C-44D2-8860-BFBE9DF5851E},2021/12/16 14:56:43+00,HostedByHIFLD,2021/12/16 14:56:43+00,HostedByHIFLD
